NES 6502 bus-cycle vectors — measured 2026-09-12
Source: https://github.com/SingleStepTests/65x02/tree/2f6980a2d95757486c7bee24355c360e40e2a224/nes6502/v1
Command: dotnet run -c Release --project tests/NesEmulator.Tests -- --cpu-vectors roms/cpu-vectors
Checks: registers, memory, cycle count, every bus address/value/direction; finite JAM bus-loop prefixes.

00.json: 10000/10000 
01.json: 10000/10000 
02.json: 10000/10000 
03.json: 10000/10000 
04.json: 10000/10000 
05.json: 10000/10000 
06.json: 10000/10000 
07.json: 10000/10000 
08.json: 10000/10000 
09.json: 10000/10000 
0a.json: 10000/10000 
0b.json: 10000/10000 
0c.json: 10000/10000 
0d.json: 10000/10000 
0e.json: 10000/10000 
0f.json: 10000/10000 
10.json: 10000/10000 
11.json: 10000/10000 
12.json: 10000/10000 
13.json: 10000/10000 
14.json: 10000/10000 
15.json: 10000/10000 
16.json: 10000/10000 
17.json: 10000/10000 
18.json: 10000/10000 
19.json: 10000/10000 
1a.json: 10000/10000 
1b.json: 10000/10000 
1c.json: 10000/10000 
1d.json: 10000/10000 
1e.json: 10000/10000 
1f.json: 10000/10000 
20.json: 10000/10000 
21.json: 10000/10000 
22.json: 10000/10000 
23.json: 10000/10000 
24.json: 10000/10000 
25.json: 10000/10000 
26.json: 10000/10000 
27.json: 10000/10000 
28.json: 10000/10000 
29.json: 10000/10000 
2a.json: 10000/10000 
2b.json: 10000/10000 
2c.json: 10000/10000 
2d.json: 10000/10000 
2e.json: 10000/10000 
2f.json: 10000/10000 
30.json: 10000/10000 
31.json: 10000/10000 
32.json: 10000/10000 
33.json: 10000/10000 
34.json: 10000/10000 
35.json: 10000/10000 
36.json: 10000/10000 
37.json: 10000/10000 
38.json: 10000/10000 
39.json: 10000/10000 
3a.json: 10000/10000 
3b.json: 10000/10000 
3c.json: 10000/10000 
3d.json: 10000/10000 
3e.json: 10000/10000 
3f.json: 10000/10000 
40.json: 10000/10000 
41.json: 10000/10000 
42.json: 10000/10000 
43.json: 10000/10000 
44.json: 10000/10000 
45.json: 10000/10000 
46.json: 10000/10000 
47.json: 10000/10000 
48.json: 10000/10000 
49.json: 10000/10000 
4a.json: 10000/10000 
4b.json: 10000/10000 
4c.json: 10000/10000 
4d.json: 10000/10000 
4e.json: 10000/10000 
4f.json: 10000/10000 
50.json: 10000/10000 
51.json: 10000/10000 
52.json: 10000/10000 
53.json: 10000/10000 
54.json: 10000/10000 
55.json: 10000/10000 
56.json: 10000/10000 
57.json: 10000/10000 
58.json: 10000/10000 
59.json: 10000/10000 
5a.json: 10000/10000 
5b.json: 10000/10000 
5c.json: 10000/10000 
5d.json: 10000/10000 
5e.json: 10000/10000 
5f.json: 10000/10000 
60.json: 10000/10000 
61.json: 10000/10000 
62.json: 10000/10000 
63.json: 10000/10000 
64.json: 10000/10000 
65.json: 10000/10000 
66.json: 10000/10000 
67.json: 10000/10000 
68.json: 10000/10000 
69.json: 10000/10000 
6a.json: 10000/10000 
6b.json: 10000/10000 
6c.json: 10000/10000 
6d.json: 10000/10000 
6e.json: 10000/10000 
6f.json: 10000/10000 
70.json: 10000/10000 
71.json: 10000/10000 
72.json: 10000/10000 
73.json: 10000/10000 
74.json: 10000/10000 
75.json: 10000/10000 
76.json: 10000/10000 
77.json: 10000/10000 
78.json: 10000/10000 
79.json: 10000/10000 
7a.json: 10000/10000 
7b.json: 10000/10000 
7c.json: 10000/10000 
7d.json: 10000/10000 
7e.json: 10000/10000 
7f.json: 10000/10000 
80.json: 10000/10000 
81.json: 10000/10000 
82.json: 10000/10000 
83.json: 10000/10000 
84.json: 10000/10000 
85.json: 10000/10000 
86.json: 10000/10000 
87.json: 10000/10000 
88.json: 10000/10000 
89.json: 10000/10000 
8a.json: 10000/10000 
8b.json: 10000/10000 
8c.json: 10000/10000 
8d.json: 10000/10000 
8e.json: 10000/10000 
8f.json: 10000/10000 
90.json: 10000/10000 
91.json: 10000/10000 
92.json: 10000/10000 
93.json: 10000/10000 
94.json: 10000/10000 
95.json: 10000/10000 
96.json: 10000/10000 
97.json: 10000/10000 
98.json: 10000/10000 
99.json: 10000/10000 
9a.json: 10000/10000 
9b.json: 10000/10000 
9c.json: 10000/10000 
9d.json: 10000/10000 
9e.json: 10000/10000 
9f.json: 10000/10000 
a0.json: 10000/10000 
a1.json: 10000/10000 
a2.json: 10000/10000 
a3.json: 10000/10000 
a4.json: 10000/10000 
a5.json: 10000/10000 
a6.json: 10000/10000 
a7.json: 10000/10000 
a8.json: 10000/10000 
a9.json: 10000/10000 
aa.json: 10000/10000 
ab.json: 10000/10000 
ac.json: 10000/10000 
ad.json: 10000/10000 
ae.json: 10000/10000 
af.json: 10000/10000 
b0.json: 10000/10000 
b1.json: 10000/10000 
b2.json: 10000/10000 
b3.json: 10000/10000 
b4.json: 10000/10000 
b5.json: 10000/10000 
b6.json: 10000/10000 
b7.json: 10000/10000 
b8.json: 10000/10000 
b9.json: 10000/10000 
ba.json: 10000/10000 
bb.json: 10000/10000 
bc.json: 10000/10000 
bd.json: 10000/10000 
be.json: 10000/10000 
bf.json: 10000/10000 
c0.json: 10000/10000 
c1.json: 10000/10000 
c2.json: 10000/10000 
c3.json: 10000/10000 
c4.json: 10000/10000 
c5.json: 10000/10000 
c6.json: 10000/10000 
c7.json: 10000/10000 
c8.json: 10000/10000 
c9.json: 10000/10000 
ca.json: 10000/10000 
cb.json: 10000/10000 
cc.json: 10000/10000 
cd.json: 10000/10000 
ce.json: 10000/10000 
cf.json: 10000/10000 
d0.json: 10000/10000 
d1.json: 10000/10000 
d2.json: 10000/10000 
d3.json: 10000/10000 
d4.json: 10000/10000 
d5.json: 10000/10000 
d6.json: 10000/10000 
d7.json: 10000/10000 
d8.json: 10000/10000 
d9.json: 10000/10000 
da.json: 10000/10000 
db.json: 10000/10000 
dc.json: 10000/10000 
dd.json: 10000/10000 
de.json: 10000/10000 
df.json: 10000/10000 
e0.json: 10000/10000 
e1.json: 10000/10000 
e2.json: 10000/10000 
e3.json: 10000/10000 
e4.json: 10000/10000 
e5.json: 10000/10000 
e6.json: 10000/10000 
e7.json: 10000/10000 
e8.json: 10000/10000 
e9.json: 10000/10000 
ea.json: 10000/10000 
eb.json: 10000/10000 
ec.json: 10000/10000 
ed.json: 10000/10000 
ee.json: 10000/10000 
ef.json: 10000/10000 
f0.json: 10000/10000 
f1.json: 10000/10000 
f2.json: 10000/10000 
f3.json: 10000/10000 
f4.json: 10000/10000 
f5.json: 10000/10000 
f6.json: 10000/10000 
f7.json: 10000/10000 
f8.json: 10000/10000 
f9.json: 10000/10000 
fa.json: 10000/10000 
fb.json: 10000/10000 
fc.json: 10000/10000 
fd.json: 10000/10000 
fe.json: 10000/10000 
ff.json: 10000/10000 
2560000/2560000 vectors passed (registers, memory, and every bus cycle).
